,WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
3374047,1452409,UG,Kazwama,ENG,Town,56190330
3374048,1452415,UG,Kele,ENG,Town,56190267
3374049,1452452,UG,Kibanga Port,ENG,Town,56190322
3374050,1452465,UG,Kibibi,ENG,Town,56190317
3374051,1452477,UG,Kiboga,ENG,Town,56190272
3374052,1452514,UG,Kidera,ENG,Town,56190292
3374053,1452533,UG,Kigalambi,ENG,Town,56190330
3374054,1452551,UG,Kigezi,ENG,Town,56190378
3374055,1452555,UG,Kigingi,ENG,Town,56190292
3374056,1452562,UG,Kigorobya,ENG,Town,56190254
3374057,1452621,UG,Kikagati,ENG,Town,56190335
3374058,1452672,UG,Kikungiri,ENG,Town,56190263
3374059,1452683,UG,Kilak,ENG,Town,56190285
3374060,1452686,UG,Kilembe,ENG,Town,56190289
3374061,1452768,UG,Kiriri,ENG,Town,56190318
3374062,1452775,UG,Kiruhura,ENG,Town,56190274
3374063,1452788,UG,Kiryandongo,ENG,Town,56190309
3374064,1452845,UG,Kisomoro,ENG,Town,56190240
3374065,1452846,UG,Kisoro,ENG,Town,56190378
3374066,1452855,UG,Kisubi,ENG,Town,56190374
3374067,1452907,UG,Kitgum,ENG,Town,56190366
3374068,1452908,UG,Kitgum Matidi,ENG,Town,56190366
3374069,1452968,UG,Kiwoko,ENG,Town,56190336
3374070,1453014,UG,Koboko,ENG,Town,56190343
3374071,1453017,UG,Kobwin,ENG,Town,56190291
3374072,1453052,UG,Kotido,ENG,Town,56190271
3374073,1453067,UG,Kumi,ENG,Town,56190290
3374074,1453082,UG,Kyabadazza,ENG,Town,56190317
3374075,1453126,UG,Kyakarnihanda,ENG,Town,56190241
3374076,1453214,UG,Kyarusozi,ENG,Town,56190241
3374077,1453234,UG,Kyegegwa,ENG,Town,56190277
3374078,1453258,UG,Kyenjojo,ENG,Town,56190278
3374079,1453262,UG,Kyere,ENG,Town,56190363
3374080,1453292,UG,Ladonga,ENG,Town,56190377
3374081,1453303,UG,Laropi,ENG,Town,56190329
3374082,1453310,UG,Lira,ENG,Town,56190298
3374083,1453338,UG,Lomej,ENG,Town,56190218
3374084,1453357,UG,Lotuturu,ENG,Town,56190367
3374085,1453358,UG,Loyoro,ENG,Town,56190218
3374086,1453384,UG,Lugala,ENG,Town,56190235
3374087,1453410,UG,Lukaya,ENG,Town,56190306
3374088,1453478,UG,Luwero,ENG,Town,56190302
3374089,1453497,UG,Lwakhakha,ENG,Town,56190327
3374090,1453501,UG,Lwala,ENG,Town,56190226
3374091,1453516,UG,Lwampanga,ENG,Town,56190226
3374092,1453569,UG,Lyantonde,ENG,Town,56190303
3374093,1453592,UG,Maddu,ENG,Town,56190318
3374094,1453593,UG,Madi Opei,ENG,Town,56190367
3374095,1453595,UG,Madudu,ENG,Town,56190310
3374096,1453606,UG,Magamaga,ENG,Town,56190260
3374097,1453618,UG,Magoro,ENG,Town,56190279
3374098,1453635,UG,Majanji,ENG,Town,56190248
3374099,1453663,UG,Malima,ENG,Town,56190292
